external_operation_id,plate,circuit,analysis_ready_for_scatter,raw_s1_in_excel_window,raw_s1_anytime_plate,raw_s1_count_in_window,raw_s1_best_instant,pipeline_has_s1_segment,pipeline_has_sl_ingreso_balanza_leg,pipeline_has_sl_ingreso_segment,gap_class,notes
CTG_10132801238,AH010QP,R7,true,true,true,2,2026-06-07T23:09:04.424416-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232790969,AF150VL,R7,true,true,true,1,2026-06-07T23:19:54.179165-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132756162,AE248SE,R7,true,true,true,1,2026-06-07T23:20:44.132588-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232784314,GTH663,R7,true,true,true,1,2026-06-07T23:30:48.891951-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132792255,AC877NL,R7,true,true,true,1,2026-06-08T00:24:27.605475-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232795796,RRH443,R7,true,true,true,3,2026-06-08T00:29:07.847695-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132783763,JYS588,R7,true,true,true,2,2026-06-08T01:33:11.039422-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10132803752,AE941NK,R7,true,false,true,0,,false,false,true,raw_outside_window_only,Hay S1 crudo para la patente pero fuera de ventana ingreso/salida Excel (revisar match o padding)
CTG_10132804030,HFR954,R7,true,true,true,2,2026-06-08T01:44:35.792988-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
CTG_10232803527,TLC065,R7,true,true,true,1,2026-06-08T02:06:10.375655-03:00,false,false,false,raw_s1_no_pipeline,S1 en crudo dentro de ventana Excel; merge/KPI no gener├│ segmento S1 ni tramo S0ÔåÆS1; sin segmento SL_INGRESO en merge
