"event_id","journey_uid","sequence_number","event_category","event_type","occurred_at","recorded_at","truck_plate","normalized_plate","is_valid_plate","sector_code","device_code","alert_level","committee_source_journey_uid","committee_segment_index","committee_temporal_bucket","committee_operational_circuit","committee_flags","related_alert_count","related_alert_ids"
"29208","060df419-2a12-48e5-8b8a-9aefda0bb5d5","3","physical","sector_entered","2026-05-16T23:52:26.663-03:00","2026-05-16T23:52:26.663-03:00","KJP519","KJP519","true","RICARDONE_CALADA","RicCal02","0","060df419-2a12-48e5-8b8a-9aefda0bb5d5","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28387","3d74feef-e276-41f1-9d3f-38d5c28b4195","1","physical","sector_entered","2026-05-16T17:54:53.065-03:00","2026-05-16T17:54:53.065-03:00","AC073YK","AC073YK","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","3d74feef-e276-41f1-9d3f-38d5c28b4195","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28966","3d74feef-e276-41f1-9d3f-38d5c28b4195","2","physical","sector_entered","2026-05-16T21:50:27.863-03:00","2026-05-16T21:50:27.863-03:00","AC073YK","AC073YK","true","RICARDONE_BALANZA","RicB1Ingreso","0","3d74feef-e276-41f1-9d3f-38d5c28b4195","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29207","3d74feef-e276-41f1-9d3f-38d5c28b4195","3","physical","sector_entered","2026-05-16T23:51:52.904-03:00","2026-05-16T23:51:52.904-03:00","AC073YK","AC073YK","true","RICARDONE_BALANZA","RicB2Egreso","0","3d74feef-e276-41f1-9d3f-38d5c28b4195","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"28596","a9b5d2bd-bfca-4a88-bf27-02c5085623ac","1","physical","sector_entered","2026-05-16T19:41:15.699-03:00","2026-05-16T19:41:15.699-03:00","AR234MJ","AR234MJ","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","a9b5d2bd-bfca-4a88-bf27-02c5085623ac","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"29206","a9b5d2bd-bfca-4a88-bf27-02c5085623ac","2","physical","sector_entered","2026-05-16T23:51:36.81-03:00","2026-05-16T23:51:36.81-03:00","AR234MJ","AR234MJ","true","RICARDONE_BALANZA","RicB1Ingreso","0","a9b5d2bd-bfca-4a88-bf27-02c5085623ac","0","normal","REGISTRO_INCOMPLETO_COMITE","","0",""
"21251","7f67144d-f68c-4839-823b-1902286185aa__committee_seg_0","1","physical","sector_entered","2026-05-14T20:54:55.043-03:00","2026-05-14T20:54:55.043-03:00","GAK529","GAK529","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","7f67144d-f68c-4839-823b-1902286185aa","0","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"21261","7f67144d-f68c-4839-823b-1902286185aa__committee_seg_0","2","physical","sector_entered","2026-05-14T20:58:23.998-03:00","2026-05-14T20:58:23.998-03:00","GAK529","GAK529","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","7f67144d-f68c-4839-823b-1902286185aa","0","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"28648","7f67144d-f68c-4839-823b-1902286185aa__committee_seg_2","5","physical","sector_entered","2026-05-16T19:57:47.997-03:00","2026-05-16T19:57:47.997-03:00","GAK529","GAK529","true","RICARDONE_INGRESO_CAMIONES","RicIngCamFrente","0","7f67144d-f68c-4839-823b-1902286185aa","2","split","REGISTRO_INCOMPLETO_COMITE","","0",""
"28656","7f67144d-f68c-4839-823b-1902286185aa__committee_seg_2","6","physical","sector_entered","2026-05-16T20:00:34.872-03:00","2026-05-16T20:00:34.872-03:00","GAK529","GAK529","true","RICARDONE_PREINGRESO","RicPreIngInFr","0","7f67144d-f68c-4839-823b-1902286185aa","2","split","REGISTRO_INCOMPLETO_COMITE","","0",""
