"raw_id","journey_uid","plate","truck_plate","sector_code","device_code","site","alert_type","type_alt","reason","message","occurred_at","created_at","recorded_at","alert_level","payload_json"
"31823","2d3de7d4-581c-49d4-a19c-5d2848fde441","","IHV073","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:45:59.508616-03:00","","","{}"
"31822","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:45:49.403347-03:00","","","{""plate"": ""O1WBU"", ""eventId"": ""RicPreIngInTr-28049"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""O1WBU""}"
"31821","b44354f3-9f53-48ed-8619-45a7c1335bea","","NOC846","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:45:45.559067-03:00","","","{}"
"31820","7478adf0-0f3c-477e-acbd-437d78636aa6","","AE45282","RICARDONE_CELDA_16","RicC16Descarga2","","","","","","","2026-05-17T08:45:20.1964-03:00","","","{}"
"31819","7478adf0-0f3c-477e-acbd-437d78636aa6","","AE45282","RICARDONE_CELDA_16","RicC16Descarga2","","","","","","","2026-05-17T08:45:20.186574-03:00","","","{}"
"31818","","","","RICARDONE_VOLCABLE","RicVolcable1","","","","","","","2026-05-17T08:44:54.499835-03:00","","","{""plate"": ""TT041"", ""eventId"": ""RicVolcable1-1217"", ""deviceCode"": ""RicVolcable1"", ""normalizedPlate"": ""TT041""}"
"31817","e3346534-1241-4b33-89c4-c8029a58cf7d","","TNF500","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T08:44:24.430793-03:00","","","{}"
"31816","e3346534-1241-4b33-89c4-c8029a58cf7d","","TNF500","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T08:44:24.426667-03:00","","","{}"
"31815","8ea84300-a13c-489d-9f36-e67b7e1bc03f","","ALL592","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:44:14.001098-03:00","","","{}"
"31814","8ea84300-a13c-489d-9f36-e67b7e1bc03f","","ALL592","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:44:13.993197-03:00","","","{}"
"31813","","","","RICARDONE_PREINGRESO","RicPreIngInTr","","","","","","","2026-05-17T08:43:39.399491-03:00","","","{""plate"": ""O4184"", ""eventId"": ""RicPreIngInTr-28033"", ""deviceCode"": ""RicPreIngInTr"", ""normalizedPlate"": ""O4184""}"
"31812","84870af4-125f-48f8-9d3d-d504ab280408","","HPF049","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:42:34.960693-03:00","","","{}"
"31811","84870af4-125f-48f8-9d3d-d504ab280408","","HPF049","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:42:34.956671-03:00","","","{}"
"31810","","","","RICARDONE_INGRESO_CAMIONES","RicIngCamTrasera","","","","","","","2026-05-17T08:42:19.272931-03:00","","","{""plate"": ""OA80"", ""eventId"": ""RicIngCamTrasera-28193"", ""deviceCode"": ""RicIngCamTrasera"", ""normalizedPlate"": ""OA80""}"
"31809","a95cb73f-0e94-47a1-a684-d4cb725b881f","","EIT515","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:41:45.673737-03:00","","","{}"
"31808","a95cb73f-0e94-47a1-a684-d4cb725b881f","","EIT515","RICARDONE_CALADA","RicCal05","","","","","","","2026-05-17T08:41:45.66881-03:00","","","{}"
"31807","64c89950-700e-4c86-b39a-9662cd41cf80","","GLV265","RICARDONE_CALADA","RicCal03","","","","","","","2026-05-17T08:41:39.54549-03:00","","","{}"
"31806","dbdaeb66-7e9b-42f6-886e-809f6d48d8d5","","ADW24","RICARDONE_VOLCABLE","RicVolcable2","","","","","","","2026-05-17T08:41:34.514725-03:00","","","{}"
"31805","dbdaeb66-7e9b-42f6-886e-809f6d48d8d5","","ADW24","RICARDONE_VOLCABLE","RicVolcable2","","","","","","","2026-05-17T08:41:34.510027-03:00","","","{}"
"31804","4d52defd-2ca3-456d-8a72-a0421d071a1b","","AH298ZD","RICARDONE_CALADA","RicCal06","","","","","","","2026-05-17T08:41:19.387233-03:00","","","{}"
"31803","0fae970c-846b-4011-9c2c-8b24ebca2fe5","","HDV845","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:40:29.967334-03:00","","","{}"
"31802","0fae970c-846b-4011-9c2c-8b24ebca2fe5","","HDV845","RICARDONE_BALANZA","RicB1Ingreso","","","","","","","2026-05-17T08:40:29.962551-03:00","","","{}"
"31801","e0cc1bd9-866e-4cf9-b13a-1f2bacf2db4f","","FXC868","PUERTO_SAN_LORENZO_INGRESO_CAMIONES","SLZIngCamFrente","","","","","","","2026-05-17T08:40:24.302975-03:00","","","{}"
"31800","db0f56ae-f35a-4aed-9c92-ee898f68f926","","FVZG588","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:39:39.120044-03:00","","","{}"
"31799","db0f56ae-f35a-4aed-9c92-ee898f68f926","","FVZG588","RICARDONE_CALADA","RicCal04","","","","","","","2026-05-17T08:39:39.114107-03:00","","","{}"
