journey_id,patente,producto,circuito,tramo_operativo,sector,planta,segment_from,segment_to,timestamp_inicio,timestamp_fin,fecha_tramo,hora_inicio,franja_horaria,color_franja,duracion_minutos,estado_ejecutivo,es_ultimo_cuarto,p75_tramo,p90_tramo,horario_fuente,horario_fuente_inicio,horario_fuente_fin
CTG_10233244393,AB114CN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T22:10:00,2026-07-01T00:03:00,2026-06-30,22:10,20_02,#dc2626,113,,false,288.3,337.9,truckflow,,
CTG_10233239514,HCT170,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T22:11:00,2026-07-01T00:47:00,2026-06-30,22:11,20_02,#dc2626,156,,false,288.3,337.9,truckflow,,
CTG_10233226404,FHC341,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T07:22:00,2026-06-30T10:02:00,2026-06-30,07:22,02_08,#2563eb,160,,false,288.3,337.9,truckflow,,
CTG_10233224838,AE356VT,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T08:30:00,2026-06-30T11:13:00,2026-06-30,08:30,08_14,#f97316,163,,false,288.3,337.9,truckflow,,
CTG_10133228846,AI211ER,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T07:55:00,2026-06-30T10:42:00,2026-06-30,07:55,02_08,#2563eb,167,,false,288.3,337.9,truckflow,,
CTG_10233240766,FSS628,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T22:27:00,2026-07-01T01:22:00,2026-06-30,22:27,20_02,#dc2626,175,,false,288.3,337.9,truckflow,,
CTG_10233233875,EQM498,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T02:12:00,2026-06-30T07:56:00,2026-06-30,02:12,02_08,#2563eb,344,,true,288.3,337.9,truckflow,,
CTG_10233219627,PPC620,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-06-30T00:39:00,2026-06-30T06:32:00,2026-06-30,00:39,20_02,#dc2626,353,,true,288.3,337.9,truckflow,,
CTG_10233285164,AB114CN,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T23:45:00,2026-07-02T01:21:00,2026-07-01,23:45,20_02,#dc2626,96,,false,288.3,337.9,truckflow,,
CTG_10133299947,LVN867,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T23:50:00,2026-07-02T01:35:00,2026-07-01,23:50,20_02,#dc2626,105,,false,288.3,337.9,truckflow,,
CTG_10233275332,AA757WD,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T22:31:00,2026-07-02T00:23:00,2026-07-01,22:31,20_02,#dc2626,112,,false,288.3,337.9,truckflow,,
CTG_10133300005,MIC938,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T23:51:00,2026-07-02T02:07:00,2026-07-01,23:51,20_02,#dc2626,136,,false,288.3,337.9,truckflow,,
CTG_10133300059,NPA645,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T23:53:00,2026-07-02T02:21:00,2026-07-01,23:53,20_02,#dc2626,148,,false,288.3,337.9,truckflow,,
CTG_10133265611,FYH612,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T14:58:00,2026-07-01T17:34:00,2026-07-01,14:58,14_20,#16a34a,156,,false,288.3,337.9,truckflow,,
CTG_10133247345,EVN452,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T16:27:00,2026-07-01T19:04:00,2026-07-01,16:27,14_20,#16a34a,157,,false,288.3,337.9,truckflow,,
CTG_10133247632,KZR607,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T20:10:00,2026-07-01T23:05:00,2026-07-01,20:10,20_02,#dc2626,175,,false,288.3,337.9,truckflow,,
CTG_10133300177,DMF194,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T23:55:00,2026-07-02T02:51:00,2026-07-01,23:55,20_02,#dc2626,176,,false,288.3,337.9,truckflow,,
CTG_10133247834,AA807HC,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T19:38:00,2026-07-01T22:38:00,2026-07-01,19:38,14_20,#16a34a,180,,false,288.3,337.9,truckflow,,
CTG_10233252132,SNA328,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T15:12:00,2026-07-01T18:19:00,2026-07-01,15:12,14_20,#16a34a,187,,false,288.3,337.9,truckflow,,
CTG_10133279108,LQY813,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,RICARDONE,INGRESO,BALANZA_EGRESO,2026-07-01T20:24:00,2026-07-01T23:35:00,2026-07-01,20:24,20_02,#dc2626,191,,false,288.3,337.9,truckflow,,
