external_operation_id,plate_normalized,product_normalized,platform_normalized,external_ingreso_at,external_calado_at,external_salida_at,source_date,no_truckflow_reason,nearest_truckflow_journey_uid,nearest_truckflow_start_time,nearest_truckflow_end_time,nearest_time_delta_min,same_plate_journey_count,same_plate_journey_count_in_period,same_plate_journey_count_in_window,fuzzy_plate_candidates,diagnostic_detail
CTG_10233110507,AB483FX,SOJA,VOLCABLE_PTO_5,2026-06-25T16:27:00,2026-06-25T23:56:00,2026-06-26T02:05:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133103495,FIL347,SOJA,VOLCABLE_PTO_3,2026-06-25T16:06:00,2026-06-25T23:24:00,2026-06-26T02:06:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233110699,GKQ357,SOJA,VOLCABLE_PTO_1,2026-06-25T16:26:00,2026-06-25T23:52:00,2026-06-26T02:08:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133117652,HYC334,SOJA,VOLCABLE_PTO_2,2026-06-25T16:56:00,2026-06-26T00:25:00,2026-06-26T02:09:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133114308,GSJ964,SOJA,VOLCABLE_PTO_1,2026-06-25T17:04:00,2026-06-26T00:21:00,2026-06-26T02:11:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233121323,AD312ML,SOJA,VOLCABLE_PTO_5,2026-06-25T16:54:00,2026-06-26T00:19:00,2026-06-26T02:12:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133113252,AD428GD,SOJA,VOLCABLE_PTO_3,2026-06-25T16:35:00,2026-06-26T00:11:00,2026-06-26T02:14:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133082036,AC687NQ,SOJA,VOLCABLE_PTO_1,2026-06-25T14:33:00,2026-06-25T22:19:00,2026-06-26T02:15:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10133102999,RTX183,SOJA,VOLCABLE_PTO_2,2026-06-25T16:07:00,2026-06-25T23:26:00,2026-06-26T02:23:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
CTG_10233111142,RPW636,SOJA,VOLCABLE_PTO_3,2026-06-25T16:11:00,2026-06-25T23:33:00,2026-06-26T02:28:00,2026-06-26,NO_TRUCKFLOW_EXACT_PLATE_MATCH,,,,0,0,0,0,0,plate_not_in_any_journey
