executive_circuit_code,journey_id,plate,from_logical,to_logical,transition_label,duration_min
R7,384d3029-3749-4868-8e9e-856de62681f8,,SL_BALANZA_INGRESO,SL_EGRESO,balanza de entrada → egreso,35.70
R8,3f7e22b2-6d33-4597-88de-8301ab80bf43__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,1.92
R8,3f7e22b2-6d33-4597-88de-8301ab80bf43__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,26.79
R8,3f7e22b2-6d33-4597-88de-8301ab80bf43__cycle_1,,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,4.67
R8,3f7e22b2-6d33-4597-88de-8301ab80bf43__cycle_1,,INGRESO,LIQUIDO,ingreso → líquido,5.04
R8,b6552867-8b9e-4a29-b380-4cf38284c197__cycle_1,,INGRESO,PREINGRESO,ingreso → preingreso,16.33
R8,b6552867-8b9e-4a29-b380-4cf38284c197__cycle_1,,PREINGRESO,LIQUIDO,preingreso → líquido,12.70
R8,b6552867-8b9e-4a29-b380-4cf38284c197__cycle_1,,LIQUIDO,BALANZA_INGRESO,líquido → balanza ingreso,17.34
R1,04c8488c-8866-4b9d-b1ab-3151c707a75c,,INGRESO,PREINGRESO,ingreso → preingreso,1.75
R1,04c8488c-8866-4b9d-b1ab-3151c707a75c,,PREINGRESO,CALADA,preingreso → calada,50.73
R1,04c8488c-8866-4b9d-b1ab-3151c707a75c,,CALADA,BALANZA_INGRESO,calada → balanza ingreso,6.73
R7,c8e4634f-5d76-429e-8e43-29eb5f9268d7,,INGRESO,CALADA,ingreso → calada,44.90
R7,c8e4634f-5d76-429e-8e43-29eb5f9268d7,,CALADA,EGRESO,calada → egreso,262.28
R7,760a3296-704f-42cf-ba43-b48bb0e3def0,,INGRESO,PREINGRESO,ingreso → preingreso,2.25
R7,760a3296-704f-42cf-ba43-b48bb0e3def0,,PREINGRESO,CALADA,preingreso → calada,43.66
R7,760a3296-704f-42cf-ba43-b48bb0e3def0,,CALADA,EGRESO,calada → egreso,263.94
