external_operation_id,plate_normalized,resolved_executive_circuit,resolved_product,resolved_platform,cohort,riccalliq_in_truckflow,s10_liquid_in_truckflow,sl_circuit,bridge_ric_sl,truckflow_circuit_codes,excel_planta,notes
CTG_10233221019,SXJ843,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233214164,HUS297,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233215147,AA004UC,R5,GIRASOL,VOLCABLE_1,sin_riccalliq,false,false,,false,,RICARDONE,plate_not_in_any_journey
CTG_10233218032,AD586TH,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233226840,FGR717,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233218928,KQF587,R7,SOJA,VOLCABLE_PTO_2,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133129279,PMV504,R1,MAIZ,CELDA_171_-_CENTRO,sin_riccalliq,false,false,,false,,AVELLANEDA,plate_not_in_any_journey
CTG_10133215271,EEH704,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133207976,AA894VF,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_30033233786,SPI351,SL2,ACEITE GIRASOL PARA REFINAR,ACEITE_PTO,sl_liquido_san_lorenzo,true,false,SL2,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133209239,HPL756,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233214992,ISX147,R5,GIRASOL,VOLCABLE_1,sin_riccalliq,false,false,,false,,RICARDONE,plate_not_in_any_journey
CTG_10133217060,HOU346,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10133218123,AG858IA,R7,SOJA,VOLCABLE_PTO_5,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
CTG_10233165161,AA958HK,R1,MAIZ,CELDA_171_-_CENTRO,sin_riccalliq,false,false,,false,,AVELLANEDA,plate_not_in_any_journey
CTG_10233217615,AFO788,R7,SOJA,VOLCABLE_PTO_3,sin_riccalliq,false,false,,false,,TERMINAL_EMBARQUE,plate_not_in_any_journey
