journey_id,patente,producto,circuito,tramo_operativo,sector,timestamp_inicio,timestamp_fin,duracion_minutos,es_stock_inicial,motivo_stock_inicial,fecha_inicio,hora_inicio,fecha_fin,hora_fin,estado_ejecutivo,planta
CTG_10233251895,GWZ914,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T08:35:00,2026-07-01T13:14:00,279,false,,2026-07-01,08:35,2026-07-01,13:14,,RICARDONE
CTG_10133251412,RUK779,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T08:36:00,2026-07-01T13:45:00,309,false,,2026-07-01,08:36,2026-07-01,13:45,,RICARDONE
CTG_10133246442,GFE112,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T01:14:00,2026-07-01T06:27:00,313,false,,2026-07-01,01:14,2026-07-01,06:27,,RICARDONE
CTG_10233252618,VDB780,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T03:02:00,2026-07-01T08:23:00,321,false,,2026-07-01,03:02,2026-07-01,08:23,,RICARDONE
CTG_10233240088,EMJ465,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T08:40:00,2026-07-01T14:07:00,327,false,,2026-07-01,08:40,2026-07-01,14:07,,RICARDONE
CTG_10133260008,ILW482,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T08:43:00,2026-07-01T14:20:00,337,false,,2026-07-01,08:43,2026-07-01,14:20,,RICARDONE
CTG_10133261526,AE950IJ,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-01T01:51:00,2026-07-01T07:47:00,356,false,,2026-07-01,01:51,2026-07-01,07:47,,RICARDONE
CTG_10133300472,GOJ132,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T00:36:00,2026-07-02T03:18:00,162,false,,2026-07-02,00:36,2026-07-02,03:18,,RICARDONE
CTG_10133292229,FMU968,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T00:40:00,2026-07-02T03:55:00,195,false,,2026-07-02,00:40,2026-07-02,03:55,,RICARDONE
CTG_10233309762,VDB780,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T22:45:00,2026-07-03T03:00:00,255,false,,2026-07-02,22:45,2026-07-03,03:00,,RICARDONE
CTG_10233310757,OGR205,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T23:16:00,2026-07-03T03:36:00,260,false,,2026-07-02,23:16,2026-07-03,03:36,,RICARDONE
CTG_10233314278,LTN939,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T23:48:00,2026-07-03T04:16:00,268,false,,2026-07-02,23:48,2026-07-03,04:16,,RICARDONE
CTG_10233279991,HQV005,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T00:46:00,2026-07-02T05:42:00,296,false,,2026-07-02,00:46,2026-07-02,05:42,,RICARDONE
CTG_10233313921,EAZ380,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T23:50:00,2026-07-03T04:52:00,302,false,,2026-07-02,23:50,2026-07-03,04:52,,RICARDONE
CTG_10133300383,FFH803,GIRASOL,R5,ingreso → balanza egreso,ingreso → balanza egreso,2026-07-02T09:09:00,2026-07-02T14:36:00,327,false,,2026-07-02,09:09,2026-07-02,14:36,,RICARDONE
